architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,vocab_size,batch_size,seq_len,phase,phase_tokens,decode_tokens,timed_repeats,dtype,device,name,operation_key,pretty_name,group,count,total_ms,total,avg_ms,avg,min_ms,min,max_ms,max,std_ms,avg_total_ms_per_repeat,avg_total_ms_per_token,pct_total,source_operations
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,prefill_plus_decode,266,10,1,float32,cuda,block.norm1,block.norm1,LayerNorm (Pre-Attention),Layer Normalization,352,121.8025078997016,0.1218025078997016,0.34602985198778863,0.0003460298519877886,0.2232687547802925,0.0002232687547802925,19.60018090903759,0.01960018090903759,1.0279137631787223,121.8025078997016,0.4579041650364722,2.3550981788232397,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,prefill_plus_decode,266,10,1,float32,cuda,attn.q_proj,attn.q_proj,Q Projection,Self-Attention,352,411.60133806988597,0.41160133806988597,1.1693219831530852,0.0011693219831530853,0.5023051053285599,0.0005023051053285599,88.5005877353251,0.0885005877353251,4.729722609370757,411.60133806988597,1.5473734513905488,7.95846964405543,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,prefill_plus_decode,266,10,1,float32,cuda,attn.k_proj,attn.k_proj,K Projection,Self-Attention,352,323.9841372705996,0.3239841372705996,0.9204094808823853,0.0009204094808823853,0.5116160027682781,0.0005116160027682781,8.521466050297022,0.008521466050297022,0.7546722031633047,323.9841372705996,1.2179854784609008,6.264357481718789,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,prefill_plus_decode,266,10,1,float32,cuda,attn.v_proj,attn.v_proj,V Projection,Self-Attention,352,322.6480092853308,0.3226480092853308,0.916613662742417,0.000916613662742417,0.5200640298426151,0.0005200640298426151,6.570765282958746,0.006570765282958746,0.7084700561703356,322.6480092853308,1.212962440922296,6.238522934967317,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,prefill_plus_decode,266,10,1,float32,cuda,attn.matmul_qk,attn.matmul_qk,QK^T MatMul,Self-Attention,352,199.27559792995453,0.19927559792995453,0.5661238577555526,0.0005661238577555526,0.39483094587922096,0.00039483094587922096,13.82934907451272,0.01382934907451272,0.8395798788835559,199.27559792995453,0.7491563831953177,3.8530700710629437,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,prefill_plus_decode,266,10,1,float32,cuda,attn.apply_causal_mask,attn.apply_causal_mask,Causal Mask,Self-Attention,352,272.9709423147142,0.2729709423147142,0.7754856315758926,0.0007754856315758925,0.4490320570766926,0.0004490320570766926,66.4528738707304,0.0664528738707304,3.507577736840514,272.9709423147142,1.0262065500553166,5.277997803184986,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,prefill_plus_decode,266,10,1,float32,cuda,attn.softmax,attn.softmax,Softmax,Self-Attention,352,80.84485912695527,0.08084485912695527,0.22967289524703202,0.00022967289524703202,0.1520458608865738,0.0001520458608865738,12.756844982504845,0.012756844982504845,0.6694818631660323,80.84485912695527,0.3039280418306589,1.5631663401700793,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,prefill_plus_decode,266,10,1,float32,cuda,attn.weighted_sum,attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,115.02366280183196,0.11502366280183196,0.32677176932338625,0.00032677176932338625,0.22726785391569138,0.00022726785391569138,1.642419956624508,0.001642419956624508,0.14522279467856228,115.02366280183196,0.43241978496929306,2.224026610431036,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,prefill_plus_decode,266,10,1,float32,cuda,attn.out_projection,attn.out_projection,Output Projection,Self-Attention,352,327.3227675817907,0.3273227675817907,0.9298942260846327,0.0009298942260846327,0.5187508650124073,0.0005187508650124073,6.983994971960783,0.006983994971960783,0.7453731453567066,327.3227675817907,1.2305367202322959,6.32891117852875,
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,256,prefill_plus_decode,266,10,1,float32,cuda,block.norm2,block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,108.22260240092874,0.10822260240092874,0.30745057500263845,0.00030745057500263846,0.25030504912137985,0.00025030504912137985,0.45674387365579605,0.00045674387365579605,0.019966351643818086,108.22260240092874,0.406851888725296,2.0925255006392462,
