architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,vocab_size,batch_size,seq_len,phase,phase_tokens,decode_tokens,timed_repeats,dtype,device,name,operation_key,pretty_name,group,count,total_ms,total,avg_ms,avg,min_ms,min,max_ms,max,std_ms,avg_total_ms_per_repeat,avg_total_ms_per_token,pct_total
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,1024,prefill,1024,10,1,cuda_autocast_float16,cuda,block.norm1,block.norm1,LayerNorm (Pre-Attention),Layer Normalization,32,19.00498289614916,0.01900498289614916,0.5939057155046612,0.0005939057155046612,0.4768739454448223,0.0004768739454448223,0.805361196398735,0.000805361196398735,0.09475685845122987,19.00498289614916,0.018559553609520663,0.6269087808472265
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,1024,prefill,1024,10,1,cuda_autocast_float16,cuda,attn.qkv_projection,attn.qkv_projection,QKV Projection,Self-Attention,32,243.6308511532843,0.2436308511532843,7.613464098540135,0.007613464098540135,5.424756091088057,0.0054247560910880566,13.20047490298748,0.01320047490298748,1.312426702427126,243.6308511532843,0.2379207530793792,8.036540769748601
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,1024,prefill,1024,10,1,cuda_autocast_float16,cuda,attn.matmul_qk,attn.matmul_qk,QK^T MatMul,Self-Attention,32,273.1416178867221,0.2731416178867221,8.535675558960065,0.008535675558960065,3.17574804648757,0.00317574804648757,32.42363128811121,0.03242363128811121,7.794847595377787,273.1416178867221,0.26673986121750204,9.009999093590345
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,1024,prefill,1024,10,1,cuda_autocast_float16,cuda,attn.apply_causal_mask,attn.apply_causal_mask,Causal Mask,Self-Attention,32,142.7887063473463,0.1427887063473463,4.462147073354572,0.004462147073354572,3.4912736155092716,0.0034912736155092716,6.250534206628799,0.0062505342066287994,0.5151646970922088,142.7887063473463,0.13944209604233038,4.710106518070341
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,1024,prefill,1024,10,1,cuda_autocast_float16,cuda,attn.softmax,attn.softmax,Softmax,Self-Attention,32,625.827738083899,0.625827738083899,19.557116815121844,0.019557116815121844,8.82137194275856,0.00882137194275856,58.16516978666186,0.05816516978666186,15.57260633708876,625.827738083899,0.6111599004725576,20.643896732053932
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,1024,prefill,1024,10,1,cuda_autocast_float16,cuda,attn.weighted_sum,attn.weighted_sum,Attention Weighted Sum,Self-Attention,32,132.44345877319574,0.13244345877319574,4.138858086662367,0.004138858086662367,3.0886102467775345,0.0030886102467775345,6.079489830881357,0.006079489830881357,0.5658057103067148,132.44345877319574,0.12933931520819897,4.368852512228138
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,1024,prefill,1024,10,1,cuda_autocast_float16,cuda,attn.out_projection,attn.out_projection,Output Projection,Self-Attention,32,89.77618627250195,0.08977618627250195,2.805505821015686,0.002805505821015686,1.8931920640170574,0.0018931920640170574,4.093495663255453,0.004093495663255453,0.4167753788278237,89.77618627250195,0.08767205690674018,2.9614064791719232
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,1024,prefill,1024,10,1,cuda_autocast_float16,cuda,block.norm2,block.norm2,LayerNorm (Pre-FFN),Layer Normalization,32,19.26687080413103,0.01926687080413103,0.6020897126290947,0.0006020897126290947,0.4931311123073101,0.0004931311123073101,0.8196979761123657,0.0008196979761123657,0.09952416453358044,19.26687080413103,0.01881530351965921,0.6355475588986822
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,1024,prefill,1024,10,1,cuda_autocast_float16,cuda,ff.linear1,ff.linear1,FFN Linear 1,Feed Forward Network,32,362.56582848727703,0.36256582848727703,11.330182140227407,0.011330182140227407,7.05150980502367,0.00705150980502367,16.250202897936106,0.016250202897936106,2.004776214802874,362.56582848727703,0.3540681918821065,11.959795110359122
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,1024,prefill,1024,10,1,cuda_autocast_float16,cuda,ff.gelu,ff.gelu,GELU Activation,Feed Forward Network,32,27.797521091997623,0.027797521091997623,0.8686725341249257,0.0008686725341249257,0.6181891076266766,0.0006181891076266766,1.3664611615240574,0.0013664611615240574,0.15822642087831296,27.797521091997623,0.02714601669140393,0.9169442642271622
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,1024,prefill,1024,10,1,cuda_autocast_float16,cuda,ff.linear2,ff.linear2,FFN Linear 2,Feed Forward Network,32,953.4643162041903,0.9534643162041903,29.795759881380945,0.029795759881380945,18.16397113725543,0.01816397113725543,62.325706239789724,0.062325706239789724,11.850022608179362,953.4643162041903,0.9311174962931545,31.451496448019327
decoder,phi,phi_old_baseline_like,3072,32,32,96,32,12288,30257,1,1024,prefill,1024,10,1,cuda_autocast_float16,cuda,model.output_head,model.output_head,Output Head Projection,Model Output,1,141.8307162821293,0.1418307162821293,141.8307162821293,0.1418307162821293,141.8307162821293,0.1418307162821293,141.8307162821293,0.1418307162821293,0.0,141.8307162821293,0.13850655886926688,4.678505732785202
