architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,phase,phase_tokens,timed_repeats,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,avg_total_ms_per_repeat,avg_total_ms_per_token,pct_total
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,512,,512,prefill,512,5,float16,cuda,attn.apply_causal_mask,160,1.1278745965682901,1.0982300154864788,1.2605010997503996,0.030171863888893147,180.45993545092642,36.091987090185285,0.07049216228551813,5.687754933429547
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,512,,512,prefill,512,5,float16,cuda,attn.k_proj,160,1.1717045636032708,1.147701870650053,1.3310611248016357,0.03696221653661686,187.47273017652333,37.494546035304666,0.07323153522520442,5.908784923814805
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,512,,512,prefill,512,5,float16,cuda,attn.matmul_qk,160,0.7992147424374707,0.7667131721973419,0.8748399559408426,0.021921600163611193,127.87435878999531,25.574871757999063,0.04995092140234192,4.030357282626425
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,512,,512,prefill,512,5,float16,cuda,attn.out_projection,160,1.1812436932814308,1.1537179816514254,1.30773289129138,0.03706944957406124,188.99899092502892,37.799798185005784,0.07382773083008942,5.956889768141169
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,512,,512,prefill,512,5,float16,cuda,attn.q_proj,160,1.1728131197742186,1.1457500513643026,1.3076690956950188,0.03778083185224548,187.65009916387498,37.530019832775,0.07330081998588867,5.914375257925952
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,512,,512,prefill,512,5,float16,cuda,attn.softmax,160,0.49064570193877444,0.47577102668583393,0.6004110909998417,0.018515742495910356,78.50331231020391,15.700662462040782,0.030665356371173402,2.4742755269595245
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,512,,512,prefill,512,5,float16,cuda,attn.v_proj,160,1.1711353523423895,1.1461980175226927,1.3230598997324705,0.036344677500797784,187.38165637478232,37.476331274956465,0.07319595952139935,5.9059144503002035
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,512,,512,prefill,512,5,float16,cuda,attn.weighted_sum,160,0.4182194810709916,0.39980513975024223,0.5288589745759964,0.019538821665999944,66.91511697135866,13.383023394271731,0.026138717566936975,2.109037586231202
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,512,,512,prefill,512,5,float16,cuda,block.norm1,160,0.8208571540308185,0.7782329339534044,0.9144239593297243,0.02493314359040232,131.33714464493096,26.26742892898619,0.051303572126926156,4.139497725797957
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,512,,512,prefill,512,5,float16,cuda,block.norm2,160,0.8212035754695535,0.77804084867239,0.8933681529015303,0.02545835687907107,131.39257207512856,26.27851441502571,0.05132522346684709,4.141244693282823
